2012_rank,city,state,pop_2012,pop,change,land_area,label
266,Antioch,California,105508,102372,3.0600%,28.3,0
228,Ann Arbor,Michigan,116121,113934,1.9200%,27.8,0
173,Hollywood,Florida,145236,140768,3.1700%,27.4,0
57,Santa Ana,California,330920,324528,1.9700%,27.3,0
111,Oxnard,California,201555,197899,1.8500%,26.9,0
121,Huntington Beach,California,194708,189992,2.4800%,26.7,0
251,Clearwater,Florida,108732,107685,0.9700%,25.6,0
175,Syracuse,New York,144170,145170,-0.6900%,25,0
182,Orange,California,139419,136416,2.200%,24.8,0
68,Newark,New Jersey,277727,277140,0.2100%,24.2,0
276,Pompano Beach,Florida,102984,99845,3.1400%,24,0
207,Coral Springs,Florida,125287,121096,3.4600%,23.8,0
250,Gresham,Oregon,108956,105594,3.1800%,23.2,0
157,Salinas,California,154484,150441,2.6900%,23.2,0
184,Pasadena,California,138547,137122,1.0400%,23,0
161,Pomona,California,150812,149058,1.1800%,23,0
282,Santa Maria,California,101459,99553,1.9100%,22.8,0
183,Fullerton,California,138574,135161,2.5300%,22.4,0
281,Rialto,California,101740,99171,2.5900%,22.4,0
170,Sunnyvale,California,146197,140081,4.3700%,22,0
255,San Buenaventura (Ventura),California,107734,106433,1.2200%,21.7,0
88,Hialeah,Florida,231941,224669,3.2400%,21.5,0
167,Torrance,California,147027,145438,1.0900%,20.5,0
191,New Haven,Connecticut,130741,129779,0.7400%,18.7,0
134,Providence,Rhode Island,178432,178042,0.2200%,18.4,0
220,Santa Clara,California,119311,116468,2.4400%,18.4,0
240,Miami Gardens,Florida,110754,107167,3.3500%,18.2,0
115,Yonkers,New York,198449,195976,1.2600%,18,0
136,Garden Grove,California,174389,170883,2.0500%,17.9,0
222,Allentown,Pennsylvania,118974,118032,0.800%,17.5,0
209,Hartford,Connecticut,124893,124775,0.0900%,17.4,0
271,Burbank,California,104391,103340,1.0200%,17.3,0
168,Bridgeport,Connecticut,146425,144229,1.5200%,16,0
257,West Covina,California,107440,106098,1.2600%,16,0
238,Costa Mesa,California,111918,109960,1.7800%,15.7,0
169,Alexandria,Virginia,146294,139966,4.5200%,15,0
75,Jersey City,New Jersey,254441,247597,2.7600%,14.8,0
283,El Cajon,California,101435,99478,1.9700%,14.4,0
252,Lowell,Massachusetts,108522,106519,1.8800%,13.6,0
237,Downey,California,112873,111772,0.9900%,12.4,0
201,Elizabeth,New Jersey,126458,124969,1.1900%,12.3,0
232,Berkeley,California,115403,112580,2.5100%,10.5,0
264,Norwalk,California,106278,105549,0.6900%,9.7,0
233,El Monte,California,115111,113475,1.4400%,9.6,0
239,Inglewood,California,111182,109673,1.3800%,9.1,0
174,Paterson,New Jersey,145219,146199,-0.6700%,8.4,0
274,Daly City,California,103690,101123,2.5400%,7.7,0
263,Cambridge,Massachusetts,106471,105162,1.2400%,6.4,0
